datetime_utc, _conds, _dewptm, _fog, _hail, _heatindexm, _hum, _precipm, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wdird, _wdire, _wgustm, _windchillm, _wspdm
20170107-12:30,Fog,15,1,0,,94,,1010,0,0,16,0,0,0.8,110,ESE,,,5.6
20170107-13:00,Fog,15,1,0,,100,,1011,0,0,15,0,0,0.8,90,East,,,3.7
20170107-15:00,Patches of Fog,14,1,0,,96,,1013,0,0,14,0,0,0.5,110,ESE,,,3.7
20170107-18:00,Patches of Fog,14,1,0,,97,,1014,0,0,14,0,0,0.5,90,East,,,3.7
20170107-21:00,Patches of Fog,13,1,0,,97,,1014,0,0,13,0,0,0.5,90,East,,,3.7
20170108-00:00,Mist,12,0,0,,97,,1014,0,0,13,0,0,1,110,ESE,,,3.7
20170108-02:00,Fog,12,1,0,,94,,1015,0,0,13,0,0,0.5,0,North,,,0
20170108-02:30,Fog,13,1,0,,100,,1015,0,0,13,0,0,0.5,0,North,,,0
20170108-03:00,Patches of Fog,,1,0,,,,1016,0,0,,0,0,0.5,,,,,0
20170108-03:30,Fog,13,1,0,,100,,1016,0,0,13,0,0,0.6,0,North,,,0
20170108-04:30,Fog,14,1,0,,94,,1017,0,0,15,0,0,0.8,0,North,,,0
20170108-05:00,Scattered Clouds,14,0,0,,94,,1017,0,0,15,0,0,0.8,60,ENE,,,5.6
20170108-06:00,Mist,14,0,0,,72,,1017,0,0,17,0,0,1,90,East,,,7.4
20170108-06:30,Scattered Clouds,14,0,0,,82,,1017,0,0,17,0,0,1,180,South,,,7.4
20170108-07:00,Scattered Clouds,13,0,0,,77,,1016,0,0,17,0,0,1,0,North,,,0
20170108-07:30,Smoke,13,0,0,,77,,1016,0,0,17,0,0,1.2,40,NE,,,3.7
20170108-08:00,Smoke,14,0,0,,77,,1016,0,0,18,0,0,1.4,20,NNE,,,5.6
20170108-09:00,Smoke,14,0,0,,60,,1015,0,0,19,0,0,1,,,,,0
20170108-10:00,Smoke,12,0,0,,60,,1014,0,0,20,0,0,1.5,0,North,,,0
20170108-10:30,Smoke,12,0,0,,60,,1014,0,0,20,0,0,1.5,0,North,,,0
20170108-11:30,Smoke,14,0,0,,73,,1014,0,0,19,0,0,1.5,0,North,,,0
20170108-12:00,Mist,15,0,0,,76,,1014,0,0,18,0,0,1,,,,,0
20170108-15:00,Mist,13,0,0,,98,,1016,0,0,13,0,0,1,,,,,0
20170108-18:00,Mist,11,0,0,,98,,1016,0,0,11,0,0,1,,,,,0
20170108-21:00,Mist,10,0,0,,98,,1016,0,0,10,0,0,1,320,NW,,,5.6
20170109-00:00,Patches of Fog,10,1,0,,100,,1015,0,0,10,0,0,0.5,,,,,0
20170109-02:00,Fog,10,1,0,,100,,1015,0,0,10,0,0,0.6,0,North,,,0
20170109-03:00,Patches of Fog,10,1,0,,100,,1017,0,0,10,0,0,0.5,,,,,0
20170109-03:30,Fog,10,1,0,,100,,1017,0,0,10,0,0,0.8,0,North,,,0
20170109-04:00,Fog,11,1,0,,94,,1017,0,0,12,0,0,0.8,290,WNW,,,5.6
20170109-04:30,Fog,12,1,0,,94,,1017,0,0,13,0,0,0.8,290,WNW,,,5.6
20170109-05:00,Partly Cloudy,11,0,0,,77,,1018,0,0,15,0,0,0.8,290,WNW,,,5.6
20170109-05:30,Partly Cloudy,11,0,0,,72,,1018,0,0,16,0,0,0.8,230,SW,,,9.3
20170109-06:00,Patches of Fog,14,1,0,,81,,1017,0,0,16,0,0,1,320,NW,,,9.3
20170109-06:30,Partly Cloudy,12,0,0,,72,,1017,0,0,17,0,0,0.8,290,WNW,,,13
20170109-07:00,Partly Cloudy,13,0,0,,77,,1016,0,0,17,0,0,0.8,270,West,,,13
20170109-08:00,Smoke,11,0,0,,60,,1016,0,0,19,0,0,1.4,270,West,,,11.1
20170109-08:30,Smoke,11,0,0,,60,,1015,0,0,19,0,0,1.5,310,NW,,,11.1
20170109-09:00,Smoke,12,0,0,,56,,1015,0,0,19,0,0,1,290,WNW,,,9.3
20170109-10:00,Haze,12,0,0,,64,,1015,0,0,19,0,0,2,320,NW,,,9.3
20170109-11:00,Haze,12,0,0,,68,,1014,0,0,18,0,0,2,270,West,,,11.1
20170109-11:30,Haze,11,0,0,,64,,1014,0,0,18,0,0,2,270,West,,,11.1
20170109-12:00,Haze,12,0,0,,66,,1014,0,0,17,0,0,2,320,NW,,,9.3
20170109-15:00,Mist,12,0,0,,98,,1016,0,0,12,0,0,1,,,,,0
20170109-18:00,Mist,10,0,0,,95,,1016,0,0,10,0,0,1,,,,,0
20170109-21:00,Mist,9,0,0,,99,,1016,0,0,9,0,0,1,270,West,,,3.7
20170110-00:00,Mist,7,0,0,,100,,1016,0,0,7,0,0,1,270,West,,,3.7
20170110-02:00,Fog,6,1,0,,100,,1016,0,0,6,0,0,0.8,270,West,,,3.7
20170110-02:30,Fog,6,1,0,,93,,1016,0,0,7,0,0,0.8,0,North,,,0
20170110-03:00,Mist,6,0,0,,96,,1017,0,0,7,0,0,1,270,West,,,3.7
20170110-04:30,Mist,10,0,0,,82,,1017,0,0,13,0,0,3,270,West,,,11.1
20170110-05:00,Mist,9,0,0,,72,,1018,0,0,14,0,0,3,320,NW,,,11.1
20170110-05:30,Haze,10,0,0,,72,,1018,0,0,15,0,0,3,320,NW,,,11.1
20170110-06:00,Haze,8,0,0,,46,,1018,0,0,16,0,0,2,340,NNW,,,14.8
20170110-07:30,Haze,3,0,0,,39,,1017,0,0,17,0,0,4,290,WNW,,,18.5
20170110-08:00,Haze,4,0,0,,40,,1016,0,0,18,0,0,4,300,WNW,,,18.5
20170110-08:30,Haze,5,0,0,,42,,1016,0,0,18,0,0,4,290,WNW,,,22.2
